Question Number,Question,Option 1,Option 2,Option 3,Option 4,Correct Answer,TYPE
1,"Who is known as the ""King of Bollywood""?",Shah Rukh Khan,Aamir Khan,Salman Khan,Hrithik Roshan,Shah Rukh Khan,TEXT
2,"Which actor starred in the movie ""Dangal""?",Ranbir Kapoor,Aamir Khan,Salman Khan,Akshay Kumar,Aamir Khan,TEXT
3,"Who played the role of the superhero Krish in the movie ""Krrish""?",Hrithik Roshan,Shah Rukh Khan,Salman Khan,Akshay Kumar,Hrithik Roshan,TEXT
4,Which Bollywood actor is also known for his singing talent?,Arijit Singh,Sonu Nigam,Neha Kakkar,Himesh Reshammiya,Sonu Nigam,TEXT
5,"Who was the lead actor in the movie ""Bajirao Mastani""?",Ranveer Singh,Arjun Kapoor,Shahid Kapoor,Hrithik Roshan,Ranveer Singh,TEXT
6,"Which actor is famous for his role in the movie ""PK""?",Salman Khan,Shah Rukh Khan,Aamir Khan,Akshay Kumar,Aamir Khan,TEXT
7,"Which actress starred opposite Shah Rukh Khan in ""Dilwale""?",Deepika Padukone,Kajol,Kareena Kapoor,Kriti Sanon,Kriti Sanon,TEXT
8,"Who won the National Film Award for Best Actor for the movie ""Chhichhore""?",Sushant Singh Rajput,Rajkummar Rao,Ayushmann Khurrana,Shahid Kapoor,Sushant Singh Rajput,TEXT
9,"Which Bollywood actor is also a producer and owns the production company ""Arka Media Works""?",Amitabh Bachchan,Salman Khan,Aamir Khan,Shah Rukh Khan,Aamir Khan,TEXT
10,"Who starred as the lead in the movie ""Kabir Singh""?",Sidharth Malhotra,Shahid Kapoor,Ranveer Singh,Vicky Kaushal,Shahid Kapoor,TEXT
11,"Which actor played the role of ""Bajrangi"" in the movie ""Bajrangi Bhaijaan""?",Salman Khan,Aamir Khan,Ranbir Kapoor,Ajay Devgn,Salman Khan,TEXT
12,"Which Bollywood actor has the nickname ""Khiladi Kumar""?",Aamir Khan,Shah Rukh Khan,Akshay Kumar,Salman Khan,Akshay Kumar,TEXT
13,"Which actor is known for his role in ""Zindagi Na Milegi Dobara""?",Ranveer Singh,Hrithik Roshan,Salman Khan,Arjun Kapoor,Hrithik Roshan,TEXT
14,"Who starred in the movie ""Tanu Weds Manu""?",Salman Khan,Rajkummar Rao,Kangana Ranaut,Madhavan,Madhavan,TEXT
15,"Which actor is famous for his role as ""Munnabhai"" in the movie series?",Amitabh Bachchan,Shahrukh Khan,Sanjay Dutt,Salman Khan,Sanjay Dutt,TEXT
16,"Who is known as the ""Dabangg"" of Bollywood?",Salman Khan,Amitabh Bachchan,Shah Rukh Khan,Hrithik Roshan,Salman Khan,TEXT
17,"Which actress is known as the ""Queen of Bollywood""?",Kareena Kapoor,Deepika Padukone,Kangana Ranaut,Priyanka Chopra,Kangana Ranaut,TEXT
