id,question,answer,option1,option2,option3,option4,type,link,difficulty
1,"""The ultimate driving machine"" is the tagline of ….?",BMW,Maruti Suzuki,BMW,Innova,Skoda,text,,
2,"""Made from the best stuff on earth"" is the tagline of ….?",Snapple,Snapple,Apple,Axe,Ozone,text,,
3,"""Get your own box"" is the tagline of …..?",Cheez it,Cheez it,Kellogs,McDonalds,None of these,text,,
4,"""Zindagi ke sath bhi zindagi ke bad bhi"" is the tagline of …..?",LIC,Bharti Axa Life Insurance,Star Union Dai Ichi,ICICI Prudential,LIC,text,,
5,"""Taste of Feelinf"" is the Tagline of …..?",Coca Cola,Coca Cola,Pepsi,Mirinda,7' UP,text,,
6,"""A passion for the road"" is the tagline of …..?",Tata Safari,Mazda,Tata Safari,BMW,MRF Tyres,text,,
7,"""We know money"" is the tagline of …..?",AIG,AXA,AIG,Lombard,Dai Echi,text,,
8,"""Dimag ki batti jala de"" is the tagline of …....?",Mentos,Mentos,Cadbury,Dairy Milk,Nutrine,text,,
9,"""The taste of India"" id the tagline of …...?",Amul,Mother Dairy,Sudha,Amul,Ananda,text,,
10,"""Tyres with muscles"" is the tagline of ….?",MRF Tyres,Micheline,MRF Tyres,Apollo Tyres,Bridgestone,text,,
11,"""Happiest place on earth"" is the tagline of …. ?",Disneyland,Switzerland,Kashmir,Disneyland,France,text,,
12,"""Pure Banking, nothing else"" is the tagline of …..?",State Bank of India,Punjan National Bank,Bsnk of Baroda,Axis Bank,State Bank of India,text,,
13,"""Life's Good is the tagline of …..?",LG,Samsung,Havells,Philips,LG,text,,
14,"""Bajate Raho"" is the tagline of ….. ?",Red FM 93.5 ,Red FM 93.5 ,All India Radio,Radio Mirchi,Vividh Bharti,text,,
15,"""India's International Bank"" is the tagline of …. ?",Bank of Baroda,HDFC Bank Ltd.,ICICI Bank Lrd.,Bank of Baroda,Axis Bank,text,,
16,"""Impossible is nothing"" is the tagline of … ?",Adidas,Puma,Adidas,Nike,Wildcraft,text,,
17,"""Born tough"" is the tagline of … ?",CEAT,JK Tyres,Micheline,Good Year India,CEAT,text,,
18,"""Experience Change"" is the tagline of …. ?",Videocon,Acer,Bosch,BPL,Videocon,text,,
19,"""Fly the new feelings"" is the tagline of ….? ",Vistara,Yellow Pages,Vistara,Air India,Indigo,text,,
20,"""Value for Money"" is the tagline of … ?",Vishal Mega Mart,Vishal Mega Mart,Decathalon,Big Bazar,Lu lu Mall,text,,
21,"""Har needs ke liye best deals"" is the tagline of …. ?",Flipkart,Flipkart,Amazon,OLX,CarDekho.com,text,,
