question,answer,option1,option2,option3,option4,type,link,difficulty,roundId
"""The ultimate driving machine"" is the tagline of ….?",OPTION2,Maruti Suzuki,BMW,Innova,Skoda,TEXT,,EASY,3
"""Made from the best stuff on earth"" is the tagline of ….?",OPTION1,Snapple,Apple,Axe,Ozone,TEXT,,EASY,3
"""Get your own box"" is the tagline of …..?",OPTION1,Cheez it,Kellogs,McDonalds,None of these,TEXT,,EASY,3
"""Zindagi ke sath bhi zindagi ke bad bhi"" is the tagline of …..?",OPTION4,Bharti Axa Life Insurance,Star Union Dai Ichi,ICICI Prudential,LIC,TEXT,,EASY,3
"""Taste of Feelinf"" is the Tagline of …..?",OPTION1,Coca Cola,Pepsi,Mirinda,7' UP,TEXT,,EASY,3
"""A passion for the road"" is the tagline of …..?",OPTION2,Mazda,Tata Safari,BMW,MRF Tyres,TEXT,,EASY,3
"""We know money"" is the tagline of …..?",OPTION2,AXA,AIG,Lombard,Dai Echi,TEXT,,EASY,3
"""Dimag ki batti jala de"" is the tagline of …....?",OPTION1,Mentos,Cadbury,Dairy Milk,Nutrine,TEXT,,EASY,3
"""The taste of India"" id the tagline of …...?",OPTION3,Mother Dairy,Sudha,Amul,Ananda,TEXT,,EASY,3
"""Tyres with muscles"" is the tagline of ….?",OPTION2,Micheline,MRF Tyres,Apollo Tyres,Bridgestone,TEXT,,EASY,3
"""Happiest place on earth"" is the tagline of …. ?",OPTION3,Switzerland,Kashmir,Disneyland,France,TEXT,,EASY,3
"""Pure Banking, nothing else"" is the tagline of …..?",OPTION4,Punjan National Bank,Bsnk of Baroda,Axis Bank,State Bank of India,TEXT,,EASY,3
"""Life's Good is the tagline of …..?",OPTION4,Samsung,Havells,Philips,LG,TEXT,,EASY,3
"""Bajate Raho"" is the tagline of ….. ?",OPTION1,Red FM 93.5 ,All India Radio,Radio Mirchi,Vividh Bharti,TEXT,,EASY,3
"""India's International Bank"" is the tagline of …. ?",OPTION3,HDFC Bank Ltd.,ICICI Bank Lrd.,Bank of Baroda,Axis Bank,TEXT,,EASY,3
"""Impossible is nothing"" is the tagline of … ?",OPTION2,Puma,Adidas,Nike,Wildcraft,TEXT,,EASY,3
"""Born tough"" is the tagline of … ?",OPTION4,JK Tyres,Micheline,Good Year India,CEAT,TEXT,,EASY,3
"""Experience Change"" is the tagline of …. ?",OPTION4,Acer,Bosch,BPL,Videocon,TEXT,,EASY,3
"""Fly the new feelings"" is the tagline of ….? ",OPTION2,Yellow Pages,Vistara,Air India,Indigo,TEXT,,EASY,3
"""Value for Money"" is the tagline of … ?",OPTION1,Vishal Mega Mart,Decathalon,Big Bazar,Lu lu Mall,TEXT,,EASY,3
"""Har needs ke liye best deals"" is the tagline of …. ?",OPTION1,Flipkart,Amazon,OLX,CarDekho.com,TEXT,,EASY,3
