name,updatedAt
Team Insight,2024-11-26T07:42:28.238517
Mavericks,2024-11-26T07:42:28.238517
Brainstorm,2024-11-26T07:42:28.238517
The Intellectuals,2024-11-26T07:42:28.238517
Panthers,2024-11-26T07:42:28.238517
Team PV,2024-11-26T07:42:28.238517
"vaishali , aryan",2024-11-26T07:42:28.238517
Mavericks-2,2024-11-26T07:42:28.238517
Beast boy Shubh,2024-11-26T07:42:28.238517
horizon,2024-11-26T07:42:28.238517
Team -64,2024-11-26T07:42:28.238517
Team 19,2024-11-26T07:42:28.238517
Excel team,2024-11-26T07:42:28.238517
Mind Mates,2024-11-26T07:42:28.238517
Dynamic Duo,2024-11-26T07:42:28.238517
Bangaliyana-TB,2024-11-26T07:42:28.238517
SG,2024-11-26T07:42:28.238517
Power rangers,2024-11-26T07:42:28.238517
Question crafters,2024-11-26T07:42:28.238517
Sunshine,2024-11-26T07:42:28.238517
Aviatior,2024-11-26T07:42:28.238517
Team AZ,2024-11-26T07:42:28.238517
Unity crew,2024-11-26T07:42:28.238517
Team Ferrari,2024-11-26T07:42:28.238517
Team sopranos,2024-11-26T07:42:28.238517
Team diamond,2024-11-26T07:42:28.238517
A,2024-11-26T07:42:28.238517
Brainy brawlers,2024-11-26T07:42:28.238517
Trio,2024-11-26T07:42:28.238517
The Quizlings,2024-11-26T07:42:28.238517
Team Mind Benders,2024-11-26T07:42:28.238517
Chanakya,2024-11-26T07:42:28.238517
Atomic,2024-11-26T07:42:28.238517
The A team,2024-11-26T07:42:28.238517
Kautilya,2024-11-26T07:42:28.238517
Gossip girls,2024-11-26T07:42:28.238517
Scholar's,2024-11-26T07:42:28.238517
SHARKS,2024-11-26T07:42:28.238517
Ace Avengers,2024-11-26T07:42:28.238517
