question,answer,option1,option2,option3,option4,type,link,difficulty
"Which brand uses the slogan I'm livin it""?",McDonald's,HP,COCA COLA,McDonald's,Walmart,text,,Easy
"Which brand is associated with the slogan ""JUST DO IT""?",Nike,Nike,Adidas,Reebok,Goodyear,text,,Easy
"Which brand uses the slogan ""It's Finger-Lickin Good""?",KFC,Popeye's ,Mrs. Winters,KFC,ChikFila,text,,Easy
"Which brand uses the slogan ""Strong enough for a man, made for a women""?",Secret,Degree,Secret,Mitchum,Old Spice,text,,Easy
"Which brand is associated with the slogan ""Melt in your mouth, not in your hand""?",M&M's,Hershey's,M&M's,Reese's,Milky Way,text,,Easy
"Which brand is represented by the slogan ""Snap, crackle, pop""?",Kellogs,Frosted Flakes,Cinnamon Toast Crunch,Cheerios,Kellogs,text,,Easy
"Which brand uses the slogan ""When you care enough to send the very best""?",Hallmark,FTD Flowers,FedEx,Hallmark,UPS,text,,Easy
"Which brand is associated with the slogan ""Always low prices""?",Wal-Mart,Kmart,Wal-Mart,Low's,The Home Depot,text,,Easy
"Which brand uses the slogan ""Zoom, Zoom, Zoom.""?",Mazda,Mazda,Toyota,Subaru,Kia,text,,Easy
"Which brand is represented by the slogan ""Maybe she's born with it, may be it's �..""?",Maybelline,Degree,Revlon,Maybelline,Maxim,text,,Easy
"Which brand uses the slogan ""Betcha can't eat just one""?",Lay's,Lay's,Fritos,Doritos,Grippos,text,,Easy
"Which brand is associated with the slogan ""Eat Fresh""?",Subway,Panera,Subway,KFC,Jimmy John's,text,,Easy
"Which brand is represented by the slogan ""There are something money can't buy. For everything else, there's �...""?",Mastercard,Visa,American Express,Mastercard,Discover,text,,Easy
"Which airline uses the slogan ""You are now free to move about the country""?",Southwest,Southwest,American ,Continental,Delta,text,,Easy
"Which brand is represented by the slogan ""Because You're Worth it""?",L'Oreal,Maybelline,L'Oreal,Olay,Revlon,text,,Easy
"Which company is represented by the slogan ""There is a little bit of �.. in everybody's life""?",SAIL,SAIL,Iron,NTPC,HAL,text,,Easy
"""Connecting India"" is a Tagline of �..?",BSNL,Airtel,Vodafone Idea,BSNL,Reliance Jio,text,,Easy
"""Think Different"" is the Slogan of �..""?",Apple,HP,Dell,Apple,Samsung,text,,Easy
"""Are yahi to hai desh ki dhadkan"" is the slogan of �.?",Hero Honda,Honda,Hero,Hero Honda,TVS,text,,Easy
"""The future of computing"" is the tagline of �..?",AMD,Samsung,Apple,LG,AMD,text,,Easy
"""Imagine the possibilities"" is the tagline of �..?",Samsung,Samsung,Atari,MicroMax,Nokia,text,,Easy
"""The power of dreams"" is the Tagline of �..?",Honda,TVS,Bajaj,Hero Honda,Honda,text,,Easy
"""Hum me hai �."" is the Tagline of ",Hero,Honda,Hero,Yamaha,Royal Enfield,text,,Easy
"""Connecting People"" is the tagline of �..?",Nokia,eKart,FedEx,Nokia,Vivo,text,,Easy
"""Connecting People Improving Lives"" is the Tagline of �...?",DHL,BlueDart,DTDC,Nokia,DHL,text,,Easy
"""Delivering Value"" is the tagline of �..?",DTDC,eCom,Ekart Logistics,DHL,DTDC,text,,Easy
"""The energy of India"" is the Tagline of �....?",IOCL,HAL,NTPC,IOCL,Bharat Petroleum,text,,Easy
"""We also make tomorrow"" is the tagline of �.?",TISCO,TISCO,TELCO,SAIL,BHEL,text,,Easy
"""Alarm Bajne se pahle jago re"" is the Tagline of �..?",Tata Tea,Ajanta Watches,Titan Watches,Tata Tea,Wagh Bakri Chay,text,,Easy
"""Taaza ho le"" is the Tagline of �..?",Taaza Tea,Reliance Fresh,Taaza Tea,Upper Assam Tea,Tata Tea,text,,Easy
