id,question,answer,option1,option2,option3,option4,type
1,"Which brand uses the slogan I'm livin it""?",McDonald's,HP,COCA COLA,McDonald's,Walmart,text
2,"Which brand is associated with the slogan ""JUST DO IT""?",Nike,Nike,Adidas,Reebok,Goodyear,text
3,"Which brand uses the slogan ""It's Finger-Lickin Good""?",KFC,Popeye's ,Mrs. Winters,KFC,ChikFila,text
4,"Which brand uses the slogan ""Strong enough for a man, made for a women""?",Secret,Degree,Secret,Mitchum,Old Spice,text
5,"Which brand is associated with the slogan ""Melt in your mouth, not in your hand""?",M&M's,Hershey's,M&M's,Reese's,Milky Way,text
6,"Which brand is represented by the slogan ""Snap, crackle, pop""?",Kellogs,Frosted Flakes,Cinnamon Toast Crunch,Cheerios,Kellogs,text
7,"Which brand uses the slogan ""When you care enough to send the very best""?",Hallmark,FTD Flowers,FedEx,Hallmark,UPS,text
8,"Which brand is associated with the slogan ""Always low prices""?",Wal-Mart,Kmart,Wal-Mart,Low's,The Home Depot,text
9,"Which brand uses the slogan ""Zoom, Zoom, Zoom.""?",Mazda,Mazda,Toyota,Subaru,Kia,text
10,"Which brand is represented by the slogan ""Maybe she's born with it, may be it's �..""?",Maybelline,Degree,Revlon,Maybelline,Maxim,text
11,"Which brand uses the slogan ""Betcha can't eat just one""?",Lay's,Lay's,Fritos,Doritos,Grippos,text
12,"Which brand is associated with the slogan ""Eat Fresh""?",Subway,Panera,Subway,KFC,Jimmy John's,text
13,"Which brand is represented by the slogan ""There are something money can't buy. For everything else, there's �...""?",Mastercard,Visa,American Express,Mastercard,Discover,text
14,"Which airline uses the slogan ""You are now free to move about the country""?",Southwest,Southwest,American ,Continental,Delta,text
15,"Which brand is represented by the slogan ""Because You're Worth it""?",L'Oreal,Maybelline,L'Oreal,Olay,Revlon,text
16,"Which company is represented by the slogan ""There is a little bit of �.. in everybody's life""?",SAIL,SAIL,Iron,NTPC,HAL,text
17,"""Connecting India"" is a Tagline of �..?",BSNL,Airtel,Vodafone Idea,BSNL,Reliance Jio,text
18,"""Think Different"" is the Slogan of �..""?",Apple,HP,Dell,Apple,Samsung,text
19,"""Are yahi to hai desh ki dhadkan"" is the slogan of �.?",Hero Honda,Honda,Hero,Hero Honda,TVS,text
20,"""The future of computing"" is the tagline of �..?",AMD,Samsung,Apple,LG,AMD,text
21,"""Imagine the possibilities"" is the tagline of �..?",Samsung,Samsung,Atari,MicroMax,Nokia,text
22,"""The power of dreams"" is the Tagline of �..?",Honda,TVS,Bajaj,Hero Honda,Honda,text
23,"""Hum me hai �."" is the Tagline of ",Hero,Honda,Hero,Yamaha,Royal Enfield,text
24,"""Connecting People"" is the tagline of �..?",Nokia,eKart,FedEx,Nokia,Vivo,text
25,"""Connecting People Improving Lives"" is the Tagline of �...?",DHL,BlueDart,DTDC,Nokia,DHL,text
26,"""Delivering Value"" is the tagline of �..?",DTDC,eCom,Ekart Logistics,DHL,DTDC,text
27,"""The energy of India"" is the Tagline of �....?",IOCL,HAL,NTPC,IOCL,Bharat Petroleum,text
28,"""We also make tomorrow"" is the tagline of �.?",TISCO,TISCO,TELCO,SAIL,BHEL,text
29,"""Alarm Bajne se pahle jago re"" is the Tagline of �..?",Tata Tea,Ajanta Watches,Titan Watches,Tata Tea,Wagh Bakri Chay,text
30,"""Taaza ho le"" is the Tagline of �..?",Taaza Tea,Reliance Fresh,Taaza Tea,Upper Assam Tea,Tata Tea,text
31,The Tagline of Indian Tourism is �..?,Incredible India,Padharo Mahare Desh,Incredible India,Just Imagine,Rang Biranga Desh,text
32,"""The man your man could smell like"" is the Tagline of �...?",Old Spice,Gillette,Park Avenue,Old Spice,Axe,text
33,Think Different is the Tagline of �...?,Apple,Orange,Apple,Grapes,Banana,text
34,"""Twist, Lick, Dunk"" is the Tagline of �..?",Oreo,Skittles,Rainbow,Oreo,Kellogs,text
