id,question,answer,option1,option2,option3,option4,type,link,difficulty,roundId,createdAt,updatedAt
1,"Which brand uses the slogan I'm livin it""?",OPTION3,HP,COCA COLA,McDonald's,Walmart,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
2,"Which brand is associated with the slogan ""JUST DO IT""?",OPTION1,Nike,Adidas,Reebok,Goodyear,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
3,"Which brand uses the slogan ""It's Finger-Lickin Good""?",OPTION3,"Popeye's ",Mrs. Winters,KFC,ChikFila,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
4,"Which brand uses the slogan ""Strong enough for a man, made for a women""?",OPTION2,Degree,Secret,Mitchum,Old Spice,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
5,"Which brand is associated with the slogan ""Melt in your mouth, not in your hand""?",OPTION2,Hershey's,M&M's,Reese's,Milky Way,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
6,"Which brand is represented by the slogan ""Snap, crackle, pop""?",OPTION4,Frosted Flakes,Cinnamon Toast Crunch,Cheerios,Kellogs,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
7,"Which brand uses the slogan ""When you care enough to send the very best""?",OPTION3,FTD Flowers,FedEx,Hallmark,UPS,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
8,"Which brand is associated with the slogan ""Always low prices""?",OPTION2,Kmart,Wal-Mart,Low's,The Home Depot,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
9,"Which brand uses the slogan ""Zoom, Zoom, Zoom.""?",OPTION1,Mazda,Toyota,Subaru,Kia,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
10,"Which brand is represented by the slogan ""Maybe she's born with it, may be it's �..""?",OPTION3,Degree,Revlon,Maybelline,Maxim,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
11,"Which brand uses the slogan ""Betcha can't eat just one""?",OPTION1,Lay's,Fritos,Doritos,Grippos,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
12,"Which brand is associated with the slogan ""Eat Fresh""?",OPTION2,Panera,Subway,KFC,Jimmy John's,TEXT,,EASY,5,2024-11-22 16:50:24.357,2024-11-22 22:19:52.928
